snippets_rows
id,title,description,language,codeSnippet,userId
30,Wordpress Loop,Loops through all posts and displays them,WordPress,"<?php if(have_posts()) : while (have_posts()) : the_post(); ?>
    <article id=""post-<?php the_ID(); ?>"" <?php post_class(); ?> >
        <header class=""entry-header"">
            <h1><?php the_title() ?></h1>
        </header>
        <div class=""entry-content"">
            <p><?php the_content(); ?></p>
        </div>
    </article>
<?php endwhile; else: ?>
    <p>Sorry nothing found ... </p>
<?php endif;?>
<?php echo paginate_links() ?>",user_2mlEznod51hhL2F6Y9kHYlSzv8I
31,Yoast Breadcrumbs,Echo Yoast Breadcrumbs,WordPress,"<?php
   if (function_exists('yoast_breadcrumb')):
    yoast_breadcrumb( '<div class=""breadcrumb"">','</div>');
   endif;
?>
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
32,Wordpress WP_Query,"Custom wordpress loops, creates custom arguments for the new insistence of wp_query",WordPress,"<?php

$args = [
    'post_type' => 'post',
    'posts_per_page' => 3,
    'category_name' => 'staff, news', Category's to show
    'category__not_in' => array(1),   Category ids to exclude
];

Creates a new insistence of wp_query stored in an object ($query)

$query = new WP_Query($args);

Loops through posts that match the custom query

if( $query->have_posts() ): while( $query->have_posts() ) : $query->the_post(); ?>
    <article class=""latest-news"">
        <a href=""<?php the_permalink(); ?>""><?php the_post_thumbnail('medium'); ?></a>
        <h3><a href=""<?php the_permalink(); ?>""><?php the_title(); ?></a></h3>
        <div class=""meta-info"">
            <p>posted on <?php echo  get_the_date(); ?> by <?php the_author_posts_link(); ?></p>
            <p>Categories: <?php the_category(' '); ?> </p>
            <p>Tags: <?php the_tags('', ','); ?></p>
        </div>
        <?php the_excerpt(); ?>
    </article>
<?php endwhile; wp_reset_postdata(); else: ?>
    <p>Nothing yet to be displayed!</p>
<?php endif; ?>
    <?php echo paginate_links() ?>",user_2mlEznod51hhL2F6Y9kHYlSzv8I
33,JavaScript If Else Statement,Executes some code if a condition is true and another code if that condition is false,JavaScript,"const age = 19;

if(age >= 18) {
    console.log('You can start driving 🚗')
} else {
    console.log('You are too young to start driving ❌')
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
34,JavaScript Switch Statement,The switch statement executes a block of code depending on different cases,JavaScript,"const day = 'Sunday';

switch (day) {
    case 'Monday':
        console.log('Plan course structure')
        console.log('Go to coding meet up')
        break
    case 'Tuesday':
        console.log('prepare theory videos')
        break
    case 'Wednesday':
        console.log('Write code examples')
        break
    case 'Thursday':
        console.log('Write code examples')
        break
    case 'Friday':
        console.log('Record Videos')
        break
    case 'Saturday':
    case 'Sunday':
        console.log('Enjoy the weekend 😁')
        break
    default:
        console.log('Not a valid day')
}
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
35,JavaScript Ternary Operator ,(Conditional Operator) - One line if / else statement,JavaScript,"const ageTwo = 25;

ageTwo >= 18 ? console.log ('I will have a beer 🍺') : console.log('I will have water 💧');",user_2mlEznod51hhL2F6Y9kHYlSzv8I
36,PHP If Else Statement,Executes some code if a condition is true and another code if that condition is false,PHP,"$age = 19;

if($age >= 18) {
    echo 'You can start driving 🚗';
} else {
    echo 'You are too young to start driving ❌';
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
37,CSS Media Query,"Changes the background color of the <body> element to ""lightblue"" when the browser window is 600px wide or less:",CSS,"@media only screen and (max-width: 767px) {
  body {
    background-color: lightblue;
  }
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
38,HTML Basic Form,A basic form in HTML with name and email fields,HTML,"<form method=''POST"" action=""someurl.com"">
    <label for=""firstname"">First name: </label>
    <input type=""text"" name=""firstname""  required>
    <br>
    <label for=""lastname"">Last name: </label>
    <input type=""text"" name=""lastname""  required>
    <br>
    <label for=""email"">email: </label>
    <input type=""email"" name=""email""  required>
    <br>
    <label for=""password"">password: </label>
    <input type=""password"" name=""password""  required>
    <br>
    <input type=""submit"" value=""Login!"">
</form>",user_2mlEznod51hhL2F6Y9kHYlSzv8I
39,React UseEffect Hook,"Commonly used in React functional components to perform side effects in the component, such as fetching data from an API",JavaScript,"useEffect(() => {

    const fetchData = async () => {
      try {
        const response = await fetch('https://api.example.com/data');
        
        if (response.ok) {
          const result = await response.json();
          setData(result);
        } 

      } catch (error) {
        console.error('Error fetching data:', error);
      }
    };

    fetchData();

  }, []);",user_2mlEznod51hhL2F6Y9kHYlSzv8I
40,React Router Example,Creating routes with React Router Dom,JavaScript,"<BrowserRouter>
    <Navbar />
    <Routes>
        <Route path=""/"" element={<LoginPage />}/>
        <Route path=""/snippets"" element={<HomePage />}/>
        <Route path=""/create"" element={<CreatePage />}/>
        <Route path=""/login"" element={<LoginPage />}/>
        <Route path=""/signup"" element={<SignupPage />}/>
        <Route path=""/snippet/:id"" element={<SnippetPage />}/>
        <Route path=""/:id"" element={<UpdatePage />}/>
        <Route path=""/search"" element={<SearchPage />}/>
    </Routes>
</BrowserRouter>    ",user_2mlEznod51hhL2F6Y9kHYlSzv8I
41,Next.Js Image Component,A component for displaying images with next.js,JavaScript,"import Image from 'next/image'
 
export default function Page() {
  return (
    <Image
      src=""/profile.png""
      width={500}
      height={500}
      alt=""Picture of the author""
    />
  )
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
42,Next.Js Link Component,Extends the HTML <a> element to provide prefetching and client-side navigation between routes.,JavaScript,"import Link from 'next/link'
 
function Home() {
  return (
    <ul>
      <li>
        <Link href=""/"">Home</Link>
      </li>
      <li>
        <Link href=""/about"">About Us</Link>
      </li>
      <li>
        <Link href=""/blog/hello-world"">Blog Post</Link>
      </li>
    </ul>
  )
}
 
export default Home",user_2mlEznod51hhL2F6Y9kHYlSzv8I
43,Next.Js Basic Component,A basic navigation component for Next.Js,JavaScript,"import React from 'react';
import Link from ""next/link"";

const Navbar = () => {
    return (
        <nav>
            <h1>Comapany Name</h1>
            <Link href=""/"">Home</Link>
            <Link href=""/about"">About</Link>
        </nav>
    );
};

export default Navbar;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
44,Next.Js 404 Page,Create a 404 page in Next.Js. (file must be called not-found.jsx and be in the root),JavaScript,"import Link from ""next/link"";

const NotFound = () => {
    return (
        <main className=""text-center"">
            <h2 className=""text-3xl"">We hit a brick wall</h2>
            <p>We could not find the page you were looking for.</p>
            <p>Go back to the <Link href=""/"">Dashboard</Link></p>
        </main>
    );
};

export default NotFound;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
45,Next.Js Loading UI,Loading UI to be shown when  waiting for data to be fetched. (file must be called loading.jsx and be in the root). Can also be used with suspense. ,JavaScript,"const Loading = () => {
    return (
        <main className=""text-center"">
            <h2 className=""text-primary"">Loading Data...</h2>
            <p>Hopefully not for too long</p>
        </main>
    );
};

export default Loading;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
46,Next.Js Suspense  ,"Only shows loading UI for component wrapped in suspense component, fallback must be loading component..",JavaScript,"import { Suspense } from ""react""
import TicketList from ""./TicketList""
import Loading from ""../loading""

export default function Tickets() {
  return (
    <main>
      <nav>
        <div>
          <h2>Tickets</h2>
          <p><small>Currently open tickets.</small></p>
        </div>
      </nav>
      <Suspense fallback={<Loading />}>
        <TicketList />
      </Suspense>
    </main>
  )
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
47,Next.Js Route Groups,"Files can be organised into route groups to keep files tidy (FILE) is used to grouped routes, this will not affect page routing  ",JavaScript,"App
    (auth)  <---- will not affect url / page routing
        login
            page.jsx
        signup
            page.jsx
    (dashboard)  <---- will not affect url / page routing
        page.jsx
    components 
    layout.jsx
    not-fount.jsx
    node_modules
    next.config.js",user_2mlEznod51hhL2F6Y9kHYlSzv8I
48,Next.Js Page Meta Data,Adding custom meta data on a page per page basis.,JavaScript,"export const metadata = {
    title: 'Ticket Tribe | Open Tickets',
}

const Tickets = () => {
    return (
        <main>
            <nav>
                <div>
                    <h2>Tickets</h2>
                    <p>Currently open tickets</p>
                </div>
            </nav>
            <Suspense fallback={<Loading />}>
                <TicketList />
            </Suspense>
        </main>
    );
};

export default Tickets;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
49,Next.Js Dynamic Meta Data,Create dynamic meta data for a page.,JavaScript,"export const generateMetadata = async ({params}) => {
    const id = params.id

    const res = await fetch(`http://localhost:4000/tickets/${id}`)
    const ticket = await res.json()

    return {
        title: `Ticket Tribe | ${ticket.title}`
    }
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
50,Next.Js HTTP Requests,"Make api endpoint to GET, POST data. Create a file called api (root) then a folder (endpoint) and a route.js file.",JavaScript,"import { NextResponse } from ""next/server""

export const dynamic = 'force-dynamic'

export async function GET() {
  const res = await fetch('http://localhost:4000/tickets')

  const tickets = await res.json()

  return NextResponse.json(tickets, {
    status: 200
  })
}

export async function POST(request) {
  const ticket = await request.json()

  const res = await fetch('http://localhost:4000/tickets', {
    method: 'POST',
    headers: {""Content-Type"": ""application/json""},
    body: JSON.stringify(ticket)
  })

  const newTicket = await res.json()

  return NextResponse.json(newTicket, {
    status: 201
  })
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
51,Supabase Next.Js Signup,Signup a new user with Supabase and Next.Js,JavaScript,"""use client""
import { useState } from 'react'
import { useRouter } from 'next/navigation'
import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs""

// components
import AuthForm from ""../AuthForm""

export default function Signup() {
    const router = useRouter()
    const [error, setError] = useState('')
    const [email, setEmail] = useState('')
    const [password, setPassword] = useState('')
    
    const handleSubmit = async (e, email, password) => {
        e.preventDefault()
        setError('')

        const supabase = createClientComponentClient()
        const { error } = await supabase.auth.signUp({
            email,
            password,
            options: {
                emailRedirectTo: `${location.origin}/api/auth/callback`
            }
        })
        if (error) {
            setError(error.message)
        }
        if (!error) {
            router.push('/verify')
        }
    }

    return (
        <main>
            <h2 className=""text-center"">Sign up</h2>

            <form onSubmit={(e) => handleSubmit(e, email, password)}>
                <label>
                    <span>Email:</span>
                    <input
                        type=""email""
                        onChange={(e) => setEmail(e.target.value)}
                        value={email}
                        required
                    />
                </label>
                <label>
                    <span>Password:</span>
                    <input
                        type=""password""
                        onChange={(e) => setPassword(e.target.value)}
                        value={password}
                        required
                    />
                </label>
                <button className=""btn-primary"">Submit</button>
            </form>

            {error && (
                <div className=""error"">{error}</div>
            )}
        </main>
    )
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
52,Supabase Next.Js,Logout user with Supabase and Next.js (Logout Button Component),JavaScript,"'use client'
import React from 'react';
import {createClientComponentClient} from ""@supabase/auth-helpers-nextjs"";
import {useRouter} from ""next/navigation"";

const LogoutButton = () => {
    const router = useRouter()

    const handleLogout = async () => {
        const supabase = createClientComponentClient()
        const {error} = await supabase.auth.signOut()

        if (!error) {
            router.push('/login')
        }
    }

    return (
        <button className=""btn-primary"" onClick={handleLogout}>
            Logout
        </button>
    );
};

export default LogoutButton;
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
53,Supabase Next.Js Logout,Logout a user with Supabase and Next.js,JavaScript,"'use client'
import React from 'react';
import {createClientComponentClient} from ""@supabase/auth-helpers-nextjs"";
import {useRouter} from ""next/navigation"";

const LogoutButton = () => {
    const router = useRouter()

    const handleLogout = async () => {
        const supabase = createClientComponentClient()
        const {error} = await supabase.auth.signOut()

        if (!error) {
            router.push('/login')
        }
    }

    return (
        <button className=""btn-primary"" onClick={handleLogout}>
            Logout
        </button>
    );
};

export default LogoutButton;
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
54,Supabase Next.JS Login,Login a user with Supabase and Next.js,JavaScript,"'use client'
import React, {useState} from 'react';
import AuthForm from ""@/app/(auth)/AuthForm"";
import {createClientComponentClient} from ""@supabase/auth-helpers-nextjs"";
import {router} from ""next/client"";
import {useRouter} from ""next/navigation"";

const Login = () => {
    const router = useRouter()
    const [error, setError] = useState()

    const handleSubmit = async (e, email, password) => {
        e.preventDefault()
        setError('')
        const supabase = createClientComponentClient()

        const { error } = await supabase.auth.signInWithPassword({
            email: email,
            password: password
        })
        if (error) {
            setError(error.message)
        }
        if (!error) {
            router.push('/')
        }
    }

    return (
        <main>
            <h2 className=""text-center"">Login</h2>
            <AuthForm handleSubmit={handleSubmit}/>
            {error && (
                <div className=""error"">{error}</div>
            )}
        </main>
    );
};

export default Login;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
55,Supabase Next.Js Protect Route,Protect a route with Supabase and Next.Js (protecting a the route dashboard),JavaScript,"import React from 'react';
import Navbar from ""@/app/components/Navbar"";
import {createServerComponentClient} from ""@supabase/auth-helpers-nextjs"";
import {cookies} from ""next/headers"";
import {redirect} from ""next/navigation"";

const DashboardLayout = async ({children}) => {
    const supabase = createServerComponentClient({cookies})
    const {data} = await supabase.auth.getSession()

    if (!data.session) {
        redirect(""/login"")
    }

    return (
        <>
            <Navbar user={data.session.user} />
            {children}
        </>
    );
};

export default DashboardLayout;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
56,Supabase Next.js Middleware (keep seesion),Keeps session if a user leave computer for some time ect (middleware.js file to be placed in the root),JavaScript,"import { createMiddlewareClient } from '@supabase/auth-helpers-nextjs'
import { NextResponse } from 'next/server'

export async function middleware(req) {
    const res = NextResponse.next()
    const supabase = createMiddlewareClient({ req, res })
    await supabase.auth.getSession()
    return res
}

// Ensure the middleware is only called for relevant paths.
export const config = {
    matcher: [
        '/((?!_next/static|_next/image|favicon.ico).*)',
    ],
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
57,Supabase Create ,Create a new row in Supabase,JavaScript,"const add = async () => {
    const {data, error} = await supabase
               .from('snippets')
               .insert([{title, description, language, codeSnippet}])
               .select()

    if (error) {
            console.log(error)
            setFormError('Please fill all fields in the form')
        }

        if (data) {
            console.log(data)
        }
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
58,Supabase Delete,Delete a row from Supabase,JavaScript," const handleDelete = async () => {
        const { data, error } = await supabase
            .from('snippets')
            .delete()
            .eq('id', data.id)
            .select();

        if (error) {
            console.log(error);
        }

        if (data) {
            console.log(data);
            navigate('/', { replace: true });
        }
    };",user_2mlEznod51hhL2F6Y9kHYlSzv8I
59,Supabase Update,Update a row in Supabase,JavaScript," const handleSubmit = async (e) => {
        e.preventDefault()

        const {data, error} = await supabase
            .from('snippets'). <-- Table name
            .update({title, description, language, codeSnippet}) <--- Columns to update
            .eq('id', id)
            .select()

        if (error) {
            console.log(error)
        }

        if (data) {
            console.log(data)
        }

    }",user_2mlEznod51hhL2F6Y9kHYlSzv8I
60,Supabase Read (Single),Read all rows from a table.,JavaScript,"  useEffect(() => {
        const fetchCodeSnippet = async () => {
            const { data, error } = await supabase
                .from('snippets') <-- Table name
                .select()
                .eq('id', id)
                .single();

            if (error) {
                navigate('/', { replace: true });
            }

            if (data) {
                setData(data);
            }
        };

        fetchCodeSnippet();
    }, [id, navigate]);",user_2mlEznod51hhL2F6Y9kHYlSzv8I
61,Supabase Read All,Read all rows from a table in Supabase,JavaScript,"  useEffect(() => {
        const fetchData = async () => {
            const {data, error} = await supabase
                .from('snippets')
                .select()

            if (error) {
                console.log(error)
            }

            if (data) {
                console.log(data)
            }
        }

    fetchData()
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
62,Supabase Login,Login a user with Supabase ,JavaScript," const handleSubmit = async (e) => {
        e.preventDefault()

        const { data, error } = await supabase.auth.signInWithPassword({
            email: email,
            password: password
        })

        if (error) {
            console.log(error)
        }

        if (data) {
            console.log(data)
        }
    }",user_2mlEznod51hhL2F6Y9kHYlSzv8I
63,Supabase Logout,Logout a user with Supabase,JavaScript,"const handleClick = async () => {
       const { error } = await supabase.auth.signOut()

       if (error) {
           console.log(error)
       }
}",user_2mlEznod51hhL2F6Y9kHYlSzv8I
64,Supabase Setup,"Setup Supabase in a project, this code goes in a folder in the root called services, in a file called supabaseClient.js",JavaScript,"import { createClient } from '@supabase/supabase-js'

const supabaseUrl = import.meta.env.VITE_SUPABASE_URL <--- superbase url
const supabaseKey = import.meta.env.VITE_SUPABASE_KEY <--- supabase anon key
const supabase = createClient(supabaseUrl, supabaseKey)

export default supabase",user_2mlEznod51hhL2F6Y9kHYlSzv8I
65,WordPress Custom Post Type,A custom post type for wordpress (functions.php).,WordPress,"function custom_post_type_registration() {
	$labels = array(
		'name'               => _x( 'Custom Post Type', 'post type general name', 'your-text-domain' ),
		'singular_name'      => _x( 'Custom Post', 'post type singular name', 'your-text-domain' ),
		'menu_name'          => _x( 'Custom Posts', 'admin menu', 'your-text-domain' ),
		'name_admin_bar'     => _x( 'Custom Post', 'add new on admin bar', 'your-text-domain' ),
		'add_new'            => _x( 'Add New', 'Custom Post', 'your-text-domain' ),
		'add_new_item'       => __( 'Add New Custom Post', 'your-text-domain' ),
		'new_item'           => __( 'New Custom Post', 'your-text-domain' ),
		'edit_item'          => __( 'Edit Custom Post', 'your-text-domain' ),
		'view_item'          => __( 'View Custom Post', 'your-text-domain' ),
		'all_items'          => __( 'All Custom Posts', 'your-text-domain' ),
		'search_items'       => __( 'Search Custom Posts', 'your-text-domain' ),
		'parent_item_colon'  => __( 'Parent Custom Posts:', 'your-text-domain' ),
		'not_found'          => __( 'No custom posts found.', 'your-text-domain' ),
		'not_found_in_trash' => __( 'No custom posts found in Trash.', 'your-text-domain' )
	);

	$args = array(
		'labels'             => $labels,
		'public'             => true,
		'publicly_queryable' => true,
		'show_ui'            => true,
		'show_in_menu'       => true,
		'query_var'          => true,
		'rewrite'            => array( 'slug' => 'custom-post-type' ),
		'capability_type'    => 'post',
		'has_archive'        => true,
		'hierarchical'       => false,
		'menu_position'      => null,
		'supports'           => array( 'title', 'editor', 'author', 'thumbnail', 'excerpt', 'comments' )
	);

	register_post_type( 'custom_post_type', $args );
}
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
66,WordPress Custom Taxonomy,A taxonomy is a way of grouping posts and pages under different terms with common characteristics.,WordPress,"<?php

function custom_taxonomy() {
    $args = [
            'labels' =>[
                 'name' => 'Custom Taxonomy Name (Services)',
                 'singular_name'  => 'Custom Taxonomy Name (Service)'
            ],
            'public' => true,
            'hierarchical' => true, // true for category, false for tags

        ];

register_taxonomy('custom_taxonomy_name', array('custom_post_type_name'), $args);

}

add_action('init', 'custom_taxonomy');

?>
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
67,WordPress Useful Template Tags,Useful template tags for wordpress.,WordPress,"Include tags
<?php get_header() ?> includes the header template for a theme
<?php get_footer() ?> includes the footer template for a theme
<?php get_sidebar() ?> includes the sidebar template for a theme
<?php get_template_part() ?> includes the named template part for a theme
<?php get_search_form() ?> displays search form

Login tags
<?php wp_loginout() ?> displays a link, thats allows users to login or out
<?php wp_logout_url() ?> displays a link, thats allows users to logout
<?php wp_login_url() ?> displays a link, thats allows users to login
<?php wp_login_form() ?> displays a login form
<?php wp_lostpassword_url() ?> displays a link, to reset password
<?php wp_register() ?> displays a link, to register
<?php is_user_logged_in() ?> checks if user is logged in

BlogInfo - provides general information about a wordpress install
<?php bloginfo('name') ?> site title
<?php bloginfo('description') ?> site tagline
<?php bloginfo('url') ?> site address

Navigation Tags
<?php register_nav_menus([ 'main-menu' => 'Main Menu', 'footer-menu' => 'Footer Menu']); ?> register wordpress menu (functions.php)
<?php wp_nav_menu('main-menu') ?> displays wordpress menu

Post / Page Tags
<?php the_ID() ?> returns ID of post or page ($post->ID; when in the wordpress loop)
<?php the_title() ?> returns the title of the post or page
<?php the_content() ?> returns the content of the post or page
<?php the_excerpt() ?> returns the excerpt of the post or page
<?php the_category() ?> returns the category of the post or page
<?php the_tags() ?> returns the tags of the post or page
<?php the_permalink() ?> returns the permalink for the current post or page
<?php the_date('F j, Y') ?> returns the date for the current post or page

",user_2mlEznod51hhL2F6Y9kHYlSzv8I
68,WordPress Core Template Files,Wordpress core template files and what they are used for.,WordPress,"index.php - Main theme page template
home.php - Blog home page template
page.php - Individual page template
single.php - Single blog post template
category.php - Category page template
author.php - Author page template
archive.php - Archive page template
search.php - Search page template
404.php - Error page template",user_2mlEznod51hhL2F6Y9kHYlSzv8I
69,Wordpress Register Menu,Register a menu in wordpress in functions.php,WordPress,"register_nav_menus([
    'main-menu' => 'Main Menu',
    'footer-menu' => 'Footer Menu'
]);

Displaying menus without args

<?php wp_nav_menu(['theme_location' => 'main-menu']) ?> Calls the main menu in the html

<?php wp_nav_menu(['theme_location' => 'footer-menu']) ?> Calls the footer menu in the html

",user_2mlEznod51hhL2F6Y9kHYlSzv8I
70,Wordpress Enqueue Styles and Scripts,Enqueueing Styles and scripts  (Function.php),WordPress,"function wpcustomtheme_load_scripts() {
    wp_enqueue_style('wpcustomtheme-style', get_stylesheet_uri());

    wp_enqueue_style('google-fonts', 'https:-fonts.googleapis.com/css2?family=Poppins:wght@400;700&display=swap');

    wp_enqueue_script('wpcustomtheme-javascript', get_template_directory_uri(). '/js/app.js' ); 
}

add_action('wp_enqueue_scripts', 'wpcustomtheme_load_scripts');",user_2mlEznod51hhL2F6Y9kHYlSzv8I
71,WordPress WP_Query (compare),Comparing posts with custom fields,WordPress,"<?php
    $args = [
        'post_type' => 'post',
        'posts_per_page' => 20,
        'meta_key' => 'order', custom field to compare
        'meta_compare' =>'<',  comparison operator
        'meta value' => 5,     value to compare (display posts with order field is less than 5)
        'orderby' => 'meta_value',
        'order' => 'DESC'
    ];

$query = new W_Query ($args);
?>",user_2mlEznod51hhL2F6Y9kHYlSzv8I
72,WordPress Page Templates,Creating templates for certain page and reusable templates,WordPress,"Template for certain pages on the website

page-home.php - creates a template for the page with the slug (url) home
page-about.php - creates a template for the page with the slug (url) about
page-contact.php - creates a template for the page with the slug (url) contact



Template for certain pages on the website - reusable template

general-template.php - creates a template for any page to use
contact-template.php - creates a template for any page to use
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
73,Supabase User Session,Check if a user is signed in or out,JavaScript,"useEffect(() => {
		const session = supabase.auth.session();
		setUser(session?.user);
		const { data: authListener } = supabase.auth.onAuthStateChange(
			(event, session) => {
				switch (event) {
					case ""SIGNED_IN"":
						setUser(session?.user);
						break;
					case ""SIGNED_OUT"":
						setUser(null);
						break;
					default:
				}
			}
		);
		return () => {
			authListener.unsubscribe();
		};
	}, []);
",user_2mlEznod51hhL2F6Y9kHYlSzv8I
